order_id,customer_email,amount,currency,shipping_date,status
E20000,sophia.529@example.com,288.0,USD,2025-06-14,Shipped
E20001,vivaan.834@example.com,286.04,EUR,2025-06-25,Delivered
E20002,mateo.384@example.com,879.52,EUR,2025-08-10,Delivered
E20003,liam.635@example.com,322.83,EUR,2025-07-22,Processing
E20004,aarav.758@example.com,54.38,INR,2025-05-31,Processing
E20005,priya.779@example.com,306.24,usd,2025-08-20,Processing
E20006,priya.115@example.com,,USD,,Cancelled
E20007,olivia.711@example.com,423.85,Usd,2025-07-13,Shipped
E20008,arjun.836@example.com,645.65,usd,2025-03-28,Delivered
E20009,ananya.132@example.com,39.64,usd,2025-08-21,Delivered
E20010,vivaan.329@example.com,24.39,Usd,2025-05-19,Cancelled
E20011,aarav.511@example.com,873.06,USD,2025-09-17,Shipped
E20012,emma.764@example.com,365.27,EUR,2025-06-02,Cancelled
E20013,olivia.875@example.com,625.1,INR,2025-03-25,Delivered
E20014,ananya.289@example.com,887.09,Usd,2025-06-18,Cancelled
E20015,neha.975@example.com,78.23,EUR,2025-05-05,Processing
E20016,olivia.914@example.com,864.14,usd,2025-09-14,Processing
E20017,kabir.141@example.com,742.23,EUR,,Processing
E20018,mateo.563@example.com,496.01,EUR,2025-03-22,Delivered
E20019,arjun.842@example.com,881.8,Usd,2025-06-27,Cancelled
E20020,rohan.598@example.com,17.33,usd,2025-04-10,Processing
E20021,diya.849@example.com,700.02,INR,2025-08-16,Processing
E20022,ishaan.153@example.com,708.32,USD,2025-06-27,Shipped
E20023,priya.95@example.com,280.62,EUR,2025-08-16,Cancelled
E20024,noah.738@example.com,479.45,Usd,2025-07-02,Processing
E20025,liam.934@example.com,731.1,USD,2025-09-10,Shipped
E20026,ishaan.222@example.com,699.34,INR,2025-04-28,Delivered
E20027,ishaan.841@example.com,400.87,Usd,2025-09-06,Shipped
E20028,ananya.627@example.com,366.53,Usd,2025-04-11,Processing
E20029,vivaan.156@example.com,24.99,Usd,2025-04-01,Delivered
E20030,vivaan.133@example.com,176.53,USD,2025-07-09,Cancelled
