order_id,store_code,product,category,quantity,unit_price,order_date,customer_email
ORD1000,ST-002,Gadget,Grocery,5,62.73,2025-03-13,diya.693@example.com
ORD1001,ST-002,Kettle,Grocery,7,9.88,2025-02-17,meera.239@example.com
ORD1002,ST_005,Headset,Grocery,4,179.57,2025-12-26,sara.430@example.com
ORD1003,ST-002,Sneaker,Toys,5,202.74,2025-01-04,ishaan.715@example.com
ORD1004,ST-004,Backpack,Apparel,3,55.4,2026-01-26,liam.105@example.com
ORD1005,ST-001,Lamp,Grocery,6,212.18,2025-11-06,james.827@example.com
ORD1006,ST-001,Camera,Home,2,243.33,2025-07-13,ananya.566@example.com
ORD1007,st-003,Jacket,Toys,6,145.18,2025-12-27,ananya.47@example.com
ORD1008,ST-002,Blender,Apparel,2,214.12,2025-02-21,noah.285@example.com
ORD1009,ST-004,Monitor,Apparel,3,93.8,2025-04-18,james.719@example.com
ORD1010,ST-002,Monitor,Grocery,3,134.47,2025-05-06,ishaan.474@example.com
ORD1011,ST-004,Notebook,Toys,4,171.78,2026-01-29,vivaan.235@example.com
ORD1012,ST-001,Speaker,Apparel,7,68.4,2025-04-19,karan.898@example.com
ORD1013,ST-002,Backpack,Electronics,8,100.12,2025-11-26,mateo.147@example.com
ORD1014,st-003,Charger,Electronics,5,187.26,2025-08-08,karan.409@example.com
ORD1015,st-003,Blender,Electronics,8,24.55,2025-01-25,diya.157@example.com
ORD1016,ST-002,Charger,Home,2,97.42,2025-11-02,mateo.542@example.com
ORD1017,st-003,Kettle,Grocery,2,171.06,2025-10-02,james.788@example.com
ORD1018,ST-002,Backpack,Grocery,5,109.82,2025-08-21,aarav.977@example.com
ORD1019,ST-002,Camera,Apparel,3,127.91,2025-02-24,emma.862@example.com
ORD1020,ST-002,Kettle,Toys,4,39.9,2026-01-26,ishaan.553@example.com
ORD1021,ST_005,Widget,Toys,6,123.17,2025-02-27,olivia.900@example.com
ORD1022,st-003,Blender,Grocery,4,219.75,2025-02-10,ananya.750@example.com
ORD1023,ST-004,Jacket,Grocery,3,33.84,2025-09-01,sara.170@example.com
ORD1024,st-003,Kettle,Toys,7,241.16,2025-10-04,meera.731@example.com
ORD1025,st-003,Lamp,Apparel,8,225.1,2025-08-20,diya.254@example.com
ORD1026,ST-002,Gadget,Apparel,1,147.9,2025-04-28,karan.226@example.com
ORD1027,ST-001,Gadget,Grocery,4,18.72,2025-01-17,liam.73@example.com
ORD1028,ST_005,Blender,Apparel,8,55.13,2025-03-09,karan.591@example.com
ORD1029,ST-004,Blender,Home,7,49.22,2025-02-19,sophia.363@example.com
ORD1030,ST-004,Lamp,Home,1,168.99,2025-11-27,diya.63@example.com
ORD1031,ST-004,Camera,Apparel,2,63.67,2025-04-08,sara.460@example.com
ORD1032,ST-002,Lamp,Electronics,5,116.73,2025-02-08,mateo.828@example.com
ORD1033,ST_005,Gadget,Grocery,1,242.31,2026-01-21,rohan.171@example.com
ORD1034,ST-004,Sneaker,Home,4,216.43,2025-01-31,ishaan.389@example.com
ORD1035,ST-001,Lamp,Apparel,8,72.74,2025-12-23,sara.678@example.com
ORD1036,ST-002,Sneaker,Electronics,4,75.58,2025-01-30,karan.754@example.com
ORD1037,ST_005,Widget,Apparel,1,14.44,2025-09-02,arjun.942@example.com
ORD1038,ST_005,Charger,Grocery,2,213.13,2025-02-05,neha.70@example.com
