account_id,customer_name,iban,balance,age,account_type,opened_date,branch
ACC5000,Sara Smith,GB67183258238687007942,-472.58,79,savings,2021-09-14,Delhi
ACC5001,Noah Reddy,GB39840289141612846398,47849.57,58,savings,2022-02-14,Delhi
ACC5002,Mateo Rao,GB55379502097002687681,,27,Savings,2025-01-03,Chennai
ACC5003,Diya Reddy,GB69562017537030453194,,46,Checking,2020-07-15,Delhi
ACC5004,Vivaan Rao,GB93036149872839992192,37171.66,34,savings,2025-06-20,
ACC5005,Rohan Rao,GB08948706056641877580,44132.02,46,Savings,2018-02-12,Chennai
ACC5006,Sara Das,GB63519036133254110760,,60,savings,2017-10-09,Bengaluru
ACC5007,Priya Khan,GB05831997179110065120,45915.35,74,Savings,2018-05-19,
ACC5008,Sophia Nair,GB08046619639907676991,16650.63,21,CHECKING,2020-10-19,Delhi
ACC5009,Karan Garcia,GB09193928456797232002,15239.18,73,savings,2018-06-28,
ACC5010,Sara Smith,GB49545089203880653331,16748.37,78,CHECKING,2021-09-22,Delhi
ACC5011,Karan Gupta,GB65217073033793375636,8804.35,18,savings,2015-02-10,Bengaluru
ACC5012,Olivia Sharma,GB24739500334234258323,585.35,51,Savings,2015-03-27,Mumbai
ACC5013,Noah Iyer,GB34735528961122338655,,49,Savings,2023-07-23,
ACC5014,Karan Garcia,GB42530428973179128685,24678.68,77,Checking,2018-08-11,Delhi
ACC5015,Arjun Chopra,GB77496903337363466925,12353.73,28,Checking,2023-06-06,Bengaluru
ACC5016,Emma Das,GB39078956776657546027,11306.42,27,savings,2025-02-09,Bengaluru
ACC5017,Emma Nair,GB31115083535444392840,,54,savings,2023-10-13,Chennai
ACC5018,Noah Sharma,GB82633373898775153663,21653.38,89,Savings,2019-03-15,Mumbai
ACC5019,Karan Smith,GB07553666845909022599,45644.49,68,CHECKING,2017-04-16,Chennai
ACC5020,Ananya Singh,GB15974121820970231643,11268.49,85,Savings,2020-02-06,Bengaluru
ACC5021,Olivia Sharma,GB66212867163234672994,29168.34,82,CHECKING,2018-02-02,Mumbai
ACC5022,Aarav Smith,GB69385977790147546926,12081.31,73,CHECKING,2019-04-25,Mumbai
ACC5023,Karan Iyer,GB03248413768151185672,12264.71,82,Savings,2020-03-08,Bengaluru
ACC5024,Ananya Das,GB63600412577711837274,41998.91,39,Savings,2021-10-22,Bengaluru
ACC5025,Ishaan Mehta,GB62104275230837081647,2146.97,18,Savings,2023-08-30,Chennai
ACC5026,Meera Khan,GB33106005313122068155,27883.73,42,Checking,2025-06-24,
ACC5027,Noah Kumar,GB31552065063731495013,20260.39,81,Savings,2022-12-28,
ACC5028,Karan Johnson,GB19562525715099768389,35083.77,19,Checking,2015-03-28,
ACC5029,Diya Mehta,GB63910257432630397524,15535.7,23,CHECKING,2022-04-08,Delhi
ACC5030,Aarav Khan,GB55338033968527017130,31535.53,36,Checking,2016-05-29,Bengaluru
ACC5031,Ishaan Garcia,GB16742336293449734715,19611.35,39,CHECKING,2019-12-13,Chennai
ACC5032,Arjun Kumar,GB70661498282467474689,23782.64,60,Checking,2023-01-07,Chennai
ACC5033,Meera Smith,GB00857666567491601692,9308.52,73,savings,2023-08-26,Delhi
ACC5034,Arjun Chopra,GB50663370502497243992,,29,CHECKING,2019-06-17,
ACC5035,Ananya Garcia,GB26448869461195243640,49344.79,80,Savings,2016-02-01,Bengaluru
ACC5036,Sophia Kumar,GB62252237281793230234,49138.83,70,CHECKING,2022-01-11,
ACC5037,Diya Johnson,GB16141509377100409013,25877.89,18,CHECKING,2021-10-05,
ACC5038,James Chopra,GB59655553566905510762,796.86,33,savings,2025-08-31,Mumbai
ACC5039,Olivia Das,GB78630505057397691567,49337.01,30,CHECKING,2018-04-18,
ACC5040,Meera Smith,GB98027148727178333211,21462.12,21,Checking,2025-06-02,Delhi
ACC5041,Noah Rao,GB47128715399156686334,5342.34,29,Savings,2016-01-01,Delhi
ACC5042,Karan Garcia,GB19525690409836655289,29334.19,31,CHECKING,2015-02-07,
ACC5043,Mateo Gupta,GB43772942095481497374,35059.09,66,Savings,2024-02-01,Delhi
ACC5044,Kabir Garcia,GB30276420865675661844,34667.0,42,CHECKING,2016-02-03,Mumbai
ACC5045,Liam Patel,GB47292774233305912662,46262.26,30,savings,2025-12-04,Chennai
ACC5046,Ishaan Patel,GB85962630136749261764,31432.84,74,savings,2015-02-17,Bengaluru
ACC5047,Diya Nair,GB83099974192676492151,35545.29,86,Checking,2019-07-19,Bengaluru
ACC5048,Noah Chopra,GB98131292087510293218,12466.4,-5,Savings,2016-05-25,
ACC5049,Emma Reddy,GB26034084872975859883,34240.48,23,Checking,2015-05-31,Mumbai
ACC5050,Kabir Mehta,GB32983954296184462671,47209.39,72,Checking,2021-01-04,Mumbai
ACC5051,Ananya Rao,GB35989262566093141818,20042.45,60,Savings,2019-01-26,Delhi
ACC5052,James Smith,GB34016361128497185948,13188.23,30,Savings,2016-11-30,Delhi
ACC5053,Noah Johnson,GB88967924082226940539,20621.31,76,Checking,2019-12-03,Delhi
ACC5054,Mateo Mehta,GB68341465111312901487,40321.52,19,CHECKING,2022-08-05,
ACC5055,Kabir Chopra,GB81609306853890972832,3293.68,35,savings,2025-09-06,Bengaluru
ACC5056,Sophia Chopra,GB51538144744309634807,44570.94,80,Savings,2018-12-28,Bengaluru
ACC5057,Neha Das,GB51052650167318826170,7359.34,50,Checking,2020-04-11,Chennai
ACC5058,Olivia Mehta,GB28417722560531340266,37068.16,22,Checking,2022-06-21,Mumbai
ACC5059,Priya Rao,GB78725686211022580305,21198.09,19,CHECKING,2020-05-20,Delhi
